Chrlevel	Year	ContigN50	Platform	Genome_num
yes	2023/7/10	11323.39 	Other_TGS	1
yes	2023/8/3	11300.00 	HiFi	1
yes	2023/4/4	11300.00 	HiFi	1
yes	2023/10/5	11270.00 	Other_TGS	1
yes	2023/8/2	11210.00 	Other_TGS	1
yes	2018/2/26	11210.00 	Other_TGS	1
yes	2020/10/5	11200.00 	Other_TGS	1
yes	2021/5/27	11200.00 	Other_TGS	1
yes	2023/3/9	11200.00 	Other_TGS	1
yes	2023/11/21	11117.30 	Other_TGS	1
no	2022/9/4	11100.00 	HiFi	1
yes	2020/12/16	11100.00 	Other_TGS	1
yes	2021/11/4	11038.00 	Other_TGS	1
yes	2021/3/1	11020.00 	Other_TGS	1
yes	2023/4/17	11000.00 	Other_TGS	1
yes	2023/3/21	11000.00 	Other_TGS	1
yes	2022/8/4	10907.64 	HiFi	1
yes	2019/4/24	10900.00 	Other_TGS	1
yes	2020/11/16	10900.00 	Other_TGS	1
yes	2022/6/6	10800.00 	HiFi	1
yes	2023/2/14	10800.00 	Other_TGS	1
yes	2023/4/19	10800.00 	Other_TGS	1
yes	2021/6/3	10750.00 	Other_TGS	1
yes	2022/9/19	10740.00 	Other_TGS	1
yes	2021/11/4	10738.00 	Other_TGS	1
yes	2022/8/4	10737.91 	HiFi	1
yes	2019/2/25	10700.00 	Other_TGS	1
yes	2023/3/9	10700.00 	Other_TGS	1
no	2021/6/28	10657.00 	Other_TGS	1
yes	2023/6/1	10640.00 	HiFi	1
yes	2022/10/27	10600.00 	Other_TGS	1
yes	2022/9/15	10600.00 	HiFi	1
yes	2022/7/22	10557.15 	Other_TGS	1
yes	2021/6/4	10510.00 	Other_TGS	1
yes	2022/6/26	10340.00 	Other_TGS	1
yes	2022/11/9	10320.00 	Other_TGS	1
yes	2019/8/16	10320.00 	Other_TGS	1
yes	2023/8/28	10300.00 	Other_TGS	1
yes	2023/12/11	10281.54 	Other_TGS	1
yes	2023/10/10	10260.00 	HiFi	1
yes	2022/4/30	10255.89 	Other_TGS	1
yes	2022/7/15	10226.00 	HiFi	1
yes	2021/1/19	10120.00 	Other_TGS	1
no	2022/10/27	10100.00 	Other_TGS	1
yes	2020/6/23	10000.00 	Other_TGS	1
yes	2020/4/20	10000.00 	Other_TGS	1
no	2022/7/18	9973.50 	Other_TGS	1
yes	2019/11/27	9920.00 	Other_TGS	1
yes	2023/3/9	9900.00 	Other_TGS	1
yes	2023/5/16	9899.00 	Other_TGS	1
yes	2023/12/29	9850.00 	Other_TGS	1
yes	2021/7/14	9849.00 	Other_TGS	1
yes	2021/10/25	9830.00 	Other_TGS	1
yes	2023/4/17	9830.00 	HiFi	1
no	2023/7/10	9800.00 	Other_TGS	1
yes	2022/10/28	9790.00 	HiFi	1
yes	2023/12/29	9730.00 	Other_TGS	1
yes	2020/11/25	9700.00 	Other_TGS	1
yes	2023/5/19	9680.00 	Other_TGS	1
yes	2018/12/3	9640.00 	Other_TGS	1
yes	2023/7/20	9636.08 	Other_TGS	1
yes	2022/10/27	9600.00 	Other_TGS	1
yes	2023/5/19	9600.00 	Other_TGS	1
yes	2023/5/18	9510.00 	Other_TGS	1
yes	2019/11/19	9500.00 	Other_TGS	1
yes	2018/11/2	9500.00 	Other_TGS	1
yes	2021/1/19	9480.00 	Other_TGS	1
yes	2020/8/1	9440.00 	Other_TGS	1
no	2021/6/28	9380.00 	Other_TGS	1
yes	2022/10/30	9360.00 	HiFi	1
yes	2021/5/21	9340.00 	Other_TGS	1
yes	2021/8/9	9240.00 	Other_TGS	1
yes	2022/1/1	9160.00 	Other_TGS	1
yes	2022/9/7	9100.00 	Other_TGS	1
yes	2020/4/20	9100.00 	Other_TGS	1
yes	2023/12/2	9080.00 	Other_TGS	1
yes	2022/6/25	9012.84 	HiFi	1
no	2021/6/28	8984.00 	Other_TGS	1
yes	2022/9/22	8980.00 	Other_TGS	1
yes	2021/7/30	8960.00 	Other_TGS	1
yes	2022/12/1	8910.00 	Other_TGS	1
yes	2022/10/5	8900.00 	Other_TGS	1
yes	2020/1/24	8900.00 	Other_TGS	1
yes	2023/8/3	8900.00 	HiFi	1
yes	2019/6/18	8900.00 	Other_TGS	1
yes	2022/10/5	8800.00 	Other_TGS	1
yes	2021/5/2	8600.00 	Other_TGS	1
yes	2020/1/31	8510.00 	Other_TGS	1
yes	2022/5/5	8500.00 	Other_TGS	1
yes	2021/12/25	8500.00 	Other_TGS	1
yes	2022/3/30	8400.00 	HiFi	1
yes	2021/1/31	8400.00 	Other_TGS	1
no	2021/6/28	8393.00 	Other_TGS	1
yes	2021/10/1	8301.00 	Other_TGS	1
yes	2018/12/6	8300.00 	Other_TGS	1
yes	2023/4/25	8290.00 	Other_TGS	1
yes	2022/7/18	8232.12 	Other_TGS	1
yes	2021/10/8	8130.00 	Other_TGS	1
yes	2022/12/1	8070.00 	Other_TGS	1
yes	2022/7/16	8060.00 	HiFi	1
no	2021/11/24	8041.00 	HiFi	1
yes	2022/1/18	7970.00 	Other_TGS	1
yes	2023/7/25	7950.00 	HiFi	1
yes	2022/12/16	7930.00 	Other_TGS	1
yes	2019/8/28	7909.00 	Other_TGS	1
yes	2017/12/13	7900.00 	Other_TGS	1
no	2022/9/15	7900.00 	Other_TGS	1
yes	2023/10/27	7808.52 	Other_TGS	1
yes	2022/9/12	7780.00 	Other_TGS	1
yes	2020/1/7	7700.00 	Other_TGS	1
yes	2020/12/18	7600.00 	Other_TGS	1
yes	2021/2/26	7600.00 	Other_TGS	1
yes	2023/12/18	7600.00 	HiFi	1
yes	2022/10/18	7600.00 	Other_TGS	1
yes	2023/3/30	7570.00 	Other_TGS	1
yes	2021/11/27	7550.00 	Other_TGS	1
yes	2023/9/2	7530.00 	Other_TGS	1
yes	2023/12/14	7525.32 	HiFi	1
yes	2020/9/7	7500.00 	Other_TGS	1
yes	2021/10/30	7490.00 	Other_TGS	1
yes	2022/12/16	7440.00 	Other_TGS	1
yes	2022/11/5	7340.00 	Other_TGS	1
yes	2022/7/25	7330.00 	HiFi	1
yes	2023/12/21	7325.66 	Other_TGS	1
yes	2023/11/6	7320.00 	HiFi	1
no	2020/8/1	7300.00 	Other_TGS	1
yes	2022/7/18	7298.00 	Other_TGS	1
yes	2023/6/19	7285.00 	HiFi	1
yes	2020/8/13	7280.00 	Other_TGS	1
yes	2023/12/18	7200.00 	HiFi	1
yes	2023/10/6	7200.00 	Other_TGS	1
yes	2023/6/29	7200.00 	Other_TGS	1
yes	2022/6/25	7170.00 	Other_TGS	1
yes	2023/8/23	7160.00 	Other_TGS	1
yes	2023/6/19	7127.00 	Other_TGS	1
yes	2023/7/19	7100.00 	Other_TGS	1
yes	2021/2/7	7100.00 	Other_TGS	1
no	2021/6/28	7021.00 	Other_TGS	1
yes	2023/5/31	7020.00 	Other_TGS	1
yes	2021/4/15	7000.00 	Other_TGS	1
yes	2019/4/2	6990.00 	Other_TGS	1
yes	2023/2/4	6970.00 	Other_TGS	1
yes	2021/6/24	6960.00 	Other_TGS	1
yes	2021/11/10	6880.00 	Other_TGS	1
yes	2021/12/17	6866.80 	Other_TGS	1
yes	2021/12/17	6866.80 	Other_TGS	1
yes	2022/8/30	6854.00 	HiFi	1
yes	2022/5/5	6830.00 	Other_TGS	1
yes	2021/8/19	6799.00 	Other_TGS	1
yes	2022/9/23	6783.95 	Other_TGS	1
yes	2022/6/20	6740.00 	HiFi	1
yes	2021/10/22	6614.00 	Other_TGS	1
yes	2023/10/18	6604.03 	Other_TGS	1
no	2022/10/27	6600.00 	Other_TGS	1
yes	2021/2/15	6596.16 	Other_TGS	1
yes	2022/12/27	6570.00 	Other_TGS	1
yes	2021/8/19	6556.00 	Other_TGS	1
no	2021/6/28	6555.00 	Other_TGS	1
yes	2022/8/30	6538.00 	Other_TGS	1
yes	2018/11/2	6490.00 	Other_TGS	1
yes	2021/4/4	6490.00 	Other_TGS	1
yes	2022/11/1	6410.96 	Other_TGS	1
yes	2022/10/18	6400.53 	Other_TGS	1
yes	2021/6/17	6400.00 	Other_TGS	1
yes	2022/3/3	6400.00 	HiFi	1
yes	2022/11/28	6360.00 	Other_TGS	1
