Year	Size
20y	669.00 
3y	668.99 
3y	668.50 
3y	668.40 
3y	667.80 
3y	667.30 
3y	667.00 
20y	667.00 
20y	666.00 
3y	665.20 
20y	665.00 
3y	664.90 
20y	663.00 
3y	662.80 
3y	661.90 
20y	660.50 
3y	660.37 
3y	660.00 
20y	658.90 
3y	657.00 
3y	656.69 
3y	656.67 
20y	656.19 
20y	654.92 
3y	654.51 
3y	654.00 
3y	653.46 
20y	653.00 
3y	653.00 
20y	653.00 
3y	652.73 
20y	651.00 
3y	649.96 
3y	649.43 
3y	646.90 
20y	646.00 
3y	645.98 
20y	643.20 
3y	643.00 
20y	643.00 
3y	641.45 
20y	641.45 
3y	641.00 
20y	641.00 
20y	641.00 
3y	640.56 
3y	639.60 
3y	639.20 
20y	638.26 
3y	637.71 
3y	637.46 
3y	636.41 
3y	636.00 
20y	636.00 
3y	635.31 
20y	635.00 
3y	634.90 
3y	634.58 
20y	634.10 
3y	634.07 
20y	633.28 
3y	633.00 
20y	632.80 
20y	632.00 
3y	631.92 
3y	631.76 
20y	631.00 
20y	631.00 
3y	630.95 
20y	630.04 
20y	629.66 
3y	627.22 
3y	627.01 
20y	627.00 
3y	626.43 
20y	626.00 
20y	624.00 
3y	623.88 
3y	623.87 
3y	623.40 
3y	623.00 
3y	622.95 
3y	622.86 
20y	622.60 
3y	622.00 
3y	621.98 
3y	621.81 
3y	621.27 
3y	621.20 
3y	621.01 
3y	620.52 
3y	620.37 
3y	620.32 
3y	619.85 
3y	618.90 
20y	618.80 
20y	618.30 
3y	616.19 
20y	616.10 
20y	616.00 
20y	615.80 
20y	614.35 
3y	613.38 
3y	613.06 
20y	612.00 
3y	610.05 
3y	608.95 
3y	608.33 
3y	608.28 
3y	608.17 
20y	607.00 
3y	606.90 
3y	606.10 
20y	606.00 
20y	605.78 
20y	605.40 
20y	605.00 
20y	604.56 
20y	604.10 
3y	604.00 
20y	603.90 
3y	603.26 
3y	603.00 
20y	602.00 
3y	601.90 
3y	599.60 
3y	598.60 
20y	598.00 
3y	596.00 
3y	596.00 
3y	595.85 
20y	595.80 
3y	595.52 
20y	594.87 
3y	594.80 
20y	594.75 
20y	594.00 
3y	592.85 
3y	592.10 
3y	592.00 
20y	592.00 
20y	591.00 
20y	591.00 
20y	590.00 
20y	589.00 
3y	589.00 
20y	589.00 
3y	588.00 
3y	586.62 
3y	586.62 
3y	585.00 
3y	584.88 
20y	584.60 
20y	584.00 
3y	584.00 
3y	583.45 
3y	583.45 
20y	582.00 
3y	582.00 
3y	581.45 
3y	579.01 
3y	578.78 
20y	578.00 
20y	577.30 
3y	577.00 
3y	574.94 
3y	574.70 
3y	573.67 
3y	571.00 
20y	570.80 
3y	570.00 
20y	569.90 
3y	569.81 
3y	569.00 
20y	568.90 
3y	568.86 
20y	568.60 
3y	568.27 
20y	567.00 
20y	567.00 
3y	566.00 
3y	565.90 
3y	565.40 
3y	565.00 
3y	564.48 
3y	564.12 
20y	564.00 
20y	563.00 
3y	562.96 
3y	561.70 
20y	559.00 
20y	559.00 
20y	559.00 
20y	558.00 
20y	558.00 
20y	557.00 
3y	557.00 
20y	557.00 
20y	557.00 
3y	555.94 
3y	554.41 
20y	554.00 
20y	554.00 
20y	554.00 
3y	552.90 
3y	552.73 
3y	552.03 
3y	551.80 
3y	550.60 
3y	550.31 
3y	550.31 
3y	550.12 
3y	550.00 
3y	550.00 
3y	550.00 
3y	549.70 
20y	549.60 
3y	549.00 
3y	548.70 
20y	548.60 
3y	548.00 
3y	548.00 
3y	547.76 
3y	547.38 
3y	547.00 
20y	546.00 
20y	546.00 
3y	545.75 
20y	545.00 
3y	544.58 
20y	544.00 
3y	543.50 
3y	542.50 
3y	542.00 
20y	542.00 
20y	542.00 
20y	541.86 
3y	541.30 
3y	541.00 
3y	541.00 
3y	541.00 
3y	540.80 
3y	540.75 
20y	540.00 
20y	540.00 
3y	539.43 
20y	538.06 
20y	538.00 
3y	537.00 
20y	537.00 
20y	536.50 
3y	536.05 
20y	535.00 
20y	535.00 
20y	535.00 
20y	534.00 
3y	532.73 
20y	532.70 
20y	532.50 
20y	532.29 
20y	532.00 
20y	532.00 
3y	531.60 
20y	531.43 
3y	531.00 
3y	530.27 
3y	530.07 
20y	529.00 
20y	529.00 
3y	528.66 
3y	528.50 
3y	528.22 
20y	528.00 
3y	527.30 
3y	527.14 
3y	526.80 
20y	526.00 
3y	526.00 
3y	526.00 
20y	525.00 
3y	525.00 
20y	525.00 
20y	524.00 
20y	522.60 
3y	521.98 
3y	521.91 
3y	521.30 
20y	520.90 
3y	520.80 
3y	520.64 
20y	520.00 
3y	520.00 
3y	520.00 
3y	520.00 
20y	519.40 
3y	519.23 
3y	519.00 
3y	519.00 
3y	518.64 
3y	518.19 
20y	518.00 
3y	516.71 
3y	516.12 
20y	515.40 
20y	515.00 
20y	514.00 
3y	513.18 
20y	513.00 
20y	513.00 
3y	512.60 
20y	512.00 
20y	512.00 
3y	511.60 
3y	511.49 
3y	511.25 
20y	511.00 
20y	511.00 
3y	510.91 
20y	510.63 
20y	510.00 
3y	509.00 
3y	509.00 
20y	508.00 
20y	508.00 
3y	507.00 
3y	507.00 
20y	507.00 
3y	506.70 
3y	506.00 
3y	506.00 
20y	506.00 
3y	505.33 
3y	505.18 
3y	505.00 
3y	504.90 
20y	504.50 
20y	503.90 
20y	503.70 
3y	503.00 
3y	502.60 
3y	502.10 
20y	502.00 
3y	501.20 
3y	500.94 
3y	500.49 
20y	500.00 
20y	499.00 
20y	499.00 
3y	498.27 
3y	498.00 
3y	498.00 
3y	497.24 
3y	497.20 
20y	496.50 
3y	496.50 
3y	495.60 
3y	495.42 
3y	495.18 
20y	495.00 
20y	495.00 
20y	495.00 
3y	494.87 
3y	494.80 
3y	494.66 
3y	493.61 
20y	493.00 
3y	492.60 
3y	492.36 
3y	492.20 
20y	492.00 
3y	491.81 
3y	491.48 
3y	490.68 
3y	490.44 
20y	490.00 
3y	489.91 
3y	489.48 
20y	489.30 
3y	489.18 
20y	488.60 
3y	488.40 
20y	488.00 
3y	487.70 
20y	487.00 
3y	486.27 
20y	486.00 
20y	485.00 
3y	485.00 
3y	484.85 
20y	484.60 
3y	484.00 
3y	483.16 
3y	481.51 
3y	481.43 
3y	481.00 
3y	480.43 
3y	480.30 
20y	480.27 
3y	480.20 
20y	480.00 
20y	480.00 
3y	480.00 
3y	480.00 
20y	480.00 
3y	479.90 
20y	479.30 
3y	478.50 
20y	478.00 
3y	477.61 
3y	477.35 
3y	477.18 
3y	477.16 
20y	477.00 
20y	477.00 
3y	476.82 
20y	476.60 
3y	476.32 
3y	476.20 
3y	476.00 
20y	476.00 
3y	475.64 
3y	475.19 
3y	475.00 
3y	475.00 
3y	475.00 
20y	475.00 
3y	474.12 
3y	474.00 
3y	473.55 
3y	473.15 
3y	473.11 
20y	473.00 
3y	472.29 
20y	472.20 
20y	472.00 
20y	472.00 
20y	472.00 
3y	471.95 
20y	471.88 
20y	471.80 
20y	471.00 
3y	470.61 
20y	470.51 
3y	470.36 
3y	470.35 
3y	470.21 
3y	470.00 
3y	470.00 
3y	469.83 
3y	469.57 
20y	469.50 
20y	469.00 
3y	469.00 
3y	468.09 
20y	467.79 
3y	467.00 
20y	467.00 
3y	466.11 
20y	466.00 
20y	466.00 
20y	464.00 
3y	463.97 
3y	462.58 
3y	462.53 
20y	462.30 
20y	462.10 
20y	462.00 
3y	462.00 
3y	462.00 
20y	462.00 
3y	461.00 
3y	461.00 
3y	460.00 
20y	459.50 
20y	459.00 
3y	458.00 
3y	457.80 
20y	457.80 
3y	457.53 
3y	457.14 
3y	456.60 
20y	456.54 
3y	456.50 
3y	456.21 
3y	456.18 
3y	456.00 
3y	456.00 
3y	455.50 
20y	455.20 
3y	454.40 
3y	454.28 
20y	454.00 
3y	453.70 
20y	452.42 
3y	452.28 
20y	452.00 
3y	451.70 
20y	451.00 
20y	451.00 
3y	450.80 
3y	450.00 
3y	449.30 
20y	449.00 
3y	448.68 
3y	448.68 
3y	447.06 
3y	447.00 
20y	446.40 
3y	446.30 
20y	445.05 
3y	444.60 
20y	443.80 
3y	443.74 
3y	443.36 
20y	443.00 
3y	442.00 
3y	442.00 
20y	441.38 
3y	441.00 
20y	441.00 
20y	440.00 
3y	440.00 
3y	440.00 
3y	440.00 
20y	439.97 
3y	439.90 
3y	439.66 
3y	439.17 
3y	439.00 
3y	439.00 
3y	438.00 
3y	438.00 
20y	437.65 
3y	437.29 
20y	437.00 
3y	435.80 
20y	435.10 
20y	435.00 
3y	434.90 
3y	434.30 
20y	432.00 
3y	431.08 
20y	431.00 
20y	431.00 
20y	431.00 
3y	430.40 
20y	430.00 
3y	430.00 
3y	430.00 
20y	430.00 
20y	430.00 
3y	429.84 
3y	429.30 
20y	429.30 
20y	429.27 
20y	429.00 
20y	426.38 
3y	426.20 
20y	426.20 
3y	426.16 
20y	426.00 
20y	425.00 
3y	424.59 
20y	423.52 
3y	423.50 
20y	423.00 
3y	423.00 
20y	423.00 
3y	422.47 
3y	422.39 
3y	422.00 
20y	422.00 
20y	421.50 
3y	421.38 
3y	421.20 
3y	420.70 
20y	420.00 
20y	420.00 
20y	420.00 
20y	420.00 
3y	419.86 
3y	419.46 
3y	419.00 
20y	417.66 
3y	417.65 
3y	416.10 
20y	416.00 
3y	415.18 
3y	414.98 
3y	414.95 
20y	414.05 
