Year	ContigN50	Type
3y	4700.00 	pan-genome
3y	4680.00 	haplotype
3y	4650.00 	pan-genome
3y	4527.36 	pan-genome
3y	4400.00 	pan-genome
3y	4379.12 	pan-genome
3y	4364.00 	pan-genome
3y	4300.00 	pan-genome
3y	4300.00 	pan-genome
3y	4290.00 	pan-genome
3y	4270.00 	pan-genome
3y	4200.00 	pan-genome
3y	4200.00 	pan-genome
3y	4200.00 	pan-genome
3y	4158.31 	pan-genome
3y	4102.57 	pan-genome
3y	4070.00 	pan-genome
3y	4001.36 	pan-genome
3y	4000.00 	pan-genome
3y	4000.00 	pan-genome
3y	3900.00 	pan-genome
3y	3836.21 	pan-genome
3y	3800.00 	pan-genome
3y	3800.00 	pan-genome
3y	3763.89 	pan-genome
3y	3691.00 	pan-genome
20y	3672.00 	pan-genome
3y	3600.00 	pan-genome
3y	3586.53 	pan-genome
3y	3562.02 	pan-genome
3y	3545.30 	pan-genome
20y	3480.00 	pan-genome
20y	3480.00 	haplotype
3y	3479.16 	pan-genome
3y	3457.30 	pan-genome
3y	3450.59 	pan-genome
3y	3432.03 	pan-genome
3y	3365.38 	pan-genome
3y	3275.66 	pan-genome
3y	3200.00 	pan-genome
3y	3184.05 	pan-genome
20y	3144.00 	pan-genome
3y	3100.00 	pan-genome
3y	3100.00 	pan-genome
3y	3050.02 	pan-genome
20y	3037.00 	pan-genome
3y	2933.00 	pan-genome
3y	2928.22 	pan-genome
3y	2920.00 	pan-genome
3y	2850.00 	pan-genome
3y	2799.00 	pan-genome
3y	2779.25 	pan-genome
20y	2759.00 	pan-genome
3y	2754.56 	pan-genome
20y	2734.00 	pan-genome
3y	2664.82 	pan-genome
3y	2628.15 	pan-genome
3y	2600.00 	pan-genome
3y	2549.00 	haplotype
3y	2526.43 	haplotype
3y	2513.00 	pan-genome
3y	2490.98 	pan-genome
3y	2489.36 	pan-genome
3y	2391.91 	pan-genome
20y	2320.00 	pan-genome
20y	2320.00 	haplotype
20y	2312.00 	pan-genome
3y	2311.91 	pan-genome
20y	2304.00 	pan-genome
20y	2292.00 	pan-genome
3y	2279.01 	pan-genome
20y	2269.00 	pan-genome
3y	2262.29 	pan-genome
20y	2260.00 	haplotype
3y	2253.43 	pan-genome
3y	2237.00 	pan-genome
3y	2200.00 	pan-genome
3y	2150.88 	pan-genome
3y	2100.00 	pan-genome
3y	2100.00 	pan-genome
3y	2100.00 	pan-genome
3y	2081.64 	pan-genome
3y	2079.00 	pan-genome
3y	2074.00 	pan-genome
3y	2065.17 	pan-genome
3y	2061.30 	pan-genome
3y	2044.00 	pan-genome
20y	2040.00 	pan-genome
20y	2021.00 	pan-genome
3y	2003.10 	pan-genome
3y	2002.00 	pan-genome
20y	1998.00 	pan-genome
20y	1982.00 	pan-genome
20y	1954.00 	pan-genome
20y	1952.00 	pan-genome
20y	1940.00 	haplotype
3y	1940.00 	pan-genome
3y	1900.00 	pan-genome
3y	1890.00 	pan-genome
3y	1880.00 	pan-genome
3y	1872.40 	pan-genome
3y	1846.00 	pan-genome
3y	1835.00 	pan-genome
3y	1826.92 	pan-genome
20y	1807.00 	pan-genome
20y	1800.00 	pan-genome
3y	1782.03 	pan-genome
3y	1755.03 	pan-genome
20y	1740.00 	haplotype
3y	1740.00 	pan-genome
3y	1706.00 	pan-genome
3y	1700.00 	pan-genome
20y	1692.00 	pan-genome
3y	1688.00 	pan-genome
3y	1686.04 	pan-genome
20y	1686.00 	pan-genome
20y	1680.00 	pan-genome
3y	1675.78 	pan-genome
3y	1660.00 	haplotype
3y	1650.00 	haplotype
20y	1643.00 	pan-genome
20y	1621.00 	pan-genome
3y	1607.25 	pan-genome
3y	1600.19 	pan-genome
3y	1600.00 	pan-genome
3y	1600.00 	pan-genome
3y	1585.10 	pan-genome
3y	1567.04 	pan-genome
20y	1555.00 	pan-genome
3y	1550.00 	pan-genome
20y	1545.00 	pan-genome
20y	1545.00 	pan-genome
20y	1544.00 	pan-genome
3y	1540.75 	pan-genome
3y	1534.40 	pan-genome
20y	1531.00 	pan-genome
3y	1524.72 	haplotype
3y	1521.17 	haplotype
3y	1499.85 	pan-genome
20y	1490.00 	pan-genome
20y	1478.00 	pan-genome
3y	1435.52 	pan-genome
3y	1427.03 	pan-genome
3y	1413.00 	pan-genome
3y	1410.46 	pan-genome
3y	1410.00 	pan-genome
20y	1409.00 	pan-genome
20y	1401.00 	pan-genome
3y	1381.76 	pan-genome
20y	1376.00 	pan-genome
3y	1366.92 	pan-genome
20y	1342.00 	pan-genome
3y	1340.71 	pan-genome
3y	1340.00 	haplotype
3y	1340.00 	pan-genome
3y	1340.00 	pan-genome
3y	1334.32 	pan-genome
20y	1334.00 	pan-genome
20y	1334.00 	pan-genome
3y	1330.00 	haplotype
3y	1327.07 	pan-genome
20y	1307.00 	pan-genome
20y	1307.00 	pan-genome
20y	1296.00 	pan-genome
3y	1286.17 	pan-genome
20y	1281.00 	pan-genome
20y	1276.00 	pan-genome
3y	1273.00 	pan-genome
3y	1265.49 	pan-genome
20y	1261.00 	pan-genome
20y	1254.00 	pan-genome
20y	1254.00 	pan-genome
3y	1250.00 	pan-genome
20y	1249.00 	pan-genome
20y	1243.00 	pan-genome
20y	1228.00 	pan-genome
20y	1224.00 	pan-genome
20y	1218.00 	pan-genome
20y	1215.00 	pan-genome
20y	1211.00 	pan-genome
20y	1210.00 	pan-genome
20y	1207.00 	pan-genome
3y	1198.00 	pan-genome
20y	1182.00 	pan-genome
20y	1171.00 	pan-genome
3y	1161.55 	pan-genome
20y	1151.00 	haplotype
3y	1145.11 	pan-genome
3y	1143.17 	pan-genome
3y	1142.35 	pan-genome
3y	1140.00 	pan-genome
3y	1140.00 	pan-genome
3y	1140.00 	haplotype
3y	1140.00 	haplotype
20y	1137.00 	pan-genome
3y	1135.43 	pan-genome
20y	1120.00 	pan-genome
3y	1116.00 	pan-genome
20y	1100.00 	pan-genome
20y	1096.00 	pan-genome
20y	1092.00 	pan-genome
3y	1091.81 	pan-genome
20y	1091.00 	pan-genome
3y	1090.00 	pan-genome
3y	1090.00 	pan-genome
3y	1090.00 	haplotype
3y	1090.00 	haplotype
20y	1084.00 	pan-genome
20y	1072.00 	pan-genome
20y	1064.00 	pan-genome
3y	1063.00 	pan-genome
20y	1062.00 	pan-genome
3y	1060.00 	pan-genome
3y	1060.00 	pan-genome
3y	1060.00 	haplotype
3y	1060.00 	haplotype
3y	1056.63 	pan-genome
3y	1037.00 	pan-genome
3y	1031.05 	pan-genome
3y	1025.36 	pan-genome
3y	1005.75 	pan-genome
3y	1005.71 	pan-genome
3y	1002.76 	pan-genome
3y	1000.43 	pan-genome
3y	984.17 	pan-genome
20y	983.00 	pan-genome
3y	968.62 	pan-genome
3y	966.90 	haplotype
3y	962.62 	pan-genome
3y	960.00 	pan-genome
3y	960.00 	pan-genome
3y	960.00 	haplotype
3y	960.00 	haplotype
3y	946.90 	haplotype
3y	945.33 	pan-genome
3y	933.00 	pan-genome
3y	927.92 	pan-genome
3y	924.00 	haplotype
3y	919.00 	pan-genome
3y	908.73 	pan-genome
3y	905.00 	pan-genome
3y	904.36 	pan-genome
3y	892.05 	haplotype
3y	892.05 	haplotype
3y	881.00 	pan-genome
3y	867.20 	pan-genome
3y	861.78 	pan-genome
3y	861.76 	pan-genome
3y	859.75 	pan-genome
3y	856.02 	pan-genome
3y	854.32 	pan-genome
3y	852.00 	pan-genome
3y	830.00 	pan-genome
3y	826.00 	pan-genome
