Genomesize	ContigN50	Platform
346.39	2700.00	Other_TGS
297.96	2654.25	Other_TGS
1005.67	2650.00	Other_TGS
114.00	2650.00	Other_TGS
809.84	2640.00	Other_TGS
209.27	2630.00	Other_TGS
429.30	2620.00	Other_TGS
429.30	2620.00	Other_TGS
2075.13	2601.76	Other_TGS
25400.00	2601.00	Other_TGS
431.08	2600.00	Other_TGS
391.90	2600.00	Other_TGS
247.50	2600.00	Other_TGS
59.40	2592.96	Other_TGS
375.00	2583.00	Other_TGS
1550.00	2570.00	Other_TGS
848.40	2550.00	Other_TGS
607.00	2550.00	Other_TGS
373.82	2550.00	Other_TGS
606.90	2549.12	Other_TGS
312.80	2549.00	Other_TGS
2754.00	2540.00	Other_TGS
634.07	2540.00	Other_TGS
408.10	2540.00	Other_TGS
502.10	2526.43	Other_TGS
248.89	2521.02	Other_TGS
550.12	2500.00	Other_TGS
506.70	2500.00	Other_TGS
353.00	2500.00	Other_TGS
529.00	2492.00	Other_TGS
259.00	2458.00	Other_TGS
2700.00	2450.00	Other_TGS
809.79	2450.00	Other_TGS
232.00	2450.00	Other_TGS
9860.00	2440.00	HiFi
667.30	2440.00	Other_TGS
974.87	2430.00	Other_TGS
670.29	2410.00	HiFi
508.00	2400.00	Other_TGS
488.40	2400.00	NGS
244.00	2400.00	Other_TGS
748.00	2369.00	HiFi
733.26	2360.00	Other_TGS
486.27	2360.00	Other_TGS
266.60	2330.00	Other_TGS
408.10	2317.53	HiFi
7463.30	2300.00	Other_TGS
2315.00	2300.00	Other_TGS
1219.30	2300.00	Other_TGS
820.10	2300.00	Other_TGS
426.16	2300.00	Other_TGS
362.70	2300.00	Other_TGS
318.60	2300.00	Other_TGS
309.00	2300.00	Other_TGS
698.63	2281.75	Other_TGS
808.00	2267.00	Other_TGS
244.10	2267.00	Other_TGS
403.00	2260.00	Other_TGS
206.26	2248.00	Other_TGS
1619.00	2240.00	Other_TGS
1110.00	2240.00	Other_TGS
293.00	2232.75	Other_TGS
2680.00	2220.00	Other_TGS
374.00	2210.00	Other_TGS
373.60	2210.00	Other_TGS
4222.00	2200.00	Other_TGS
811.04	2200.00	Other_TGS
529.00	2200.00	Other_TGS
344.00	2200.00	Other_TGS
293.00	2200.00	Other_TGS
2670.00	2190.00	HiFi
703.92	2190.00	Other_TGS
695.36	2190.00	Other_TGS
490.68	2180.00	Other_TGS
790.99	2170.00	Other_TGS
1700.00	2168.00	Other_TGS
4580.00	2150.00	Other_TGS
849.04	2150.00	Other_TGS
2190.00	2149.60	Other_TGS
406.10	2144.00	Other_TGS
454.28	2140.00	Other_TGS
2131.76	2139.93	HiFi
584.60	2110.00	Other_TGS
3100.00	2100.00	HiFi
843.20	2100.00	Other_TGS
834.90	2100.00	Other_TGS
798.00	2100.00	Other_TGS
519.00	2100.00	Other_TGS
476.20	2100.00	Other_TGS
409.00	2100.00	Other_TGS
385.00	2100.00	Other_TGS
377.00	2100.00	Other_TGS
371.00	2093.00	Other_TGS
3770.00	2090.00	Other_TGS
769.44	2090.00	Other_TGS
370.75	2070.00	Other_TGS
361.90	2070.00	Other_TGS
54.96	2057.59	Other_TGS
511.25	2039.16	Other_TGS
300.48	2020.00	Other_TGS
256.20	2018.00	Other_TGS
755.41	2010.00	HiFi
24.23	2001.00	Other_TGS
2125.00	2000.00	Other_TGS
657.00	2000.00	Other_TGS
1070.00	1990.00	Other_TGS
